Rank,Club,MP,W,L,D,GF,GA,GD,Pts
1,Chelsea,38,27,6,5,103,32,71,86
2,Man United,38,27,7,4,86,28,58,85
3,Arsenal,38,23,9,6,83,41,42,75
4,Tottenham,38,21,10,7,67,41,26,70
5,Man City,38,18,7,13,73,45,28,67
6,Aston Villa,38,17,8,13,52,39,13,64
7,Liverpool,38,18,11,9,61,35,26,63
8,Everton,38,16,9,13,60,49,11,61
9,Birmingham,38,13,14,11,38,47,-9,50
10,Blackburn,38,13,14,11,41,55,-14,50
11,Stoke,38,11,13,14,34,48,-14,47
12,Fulham,38,12,16,10,39,46,-7,46
13,Sunderland,38,11,16,11,48,56,-8,44
14,Bolton,38,10,19,9,42,67,-25,39
15,Wolves,38,9,18,11,32,56,-24,38
16,Wigan,38,9,20,9,37,79,-42,36
17,West Ham,38,8,19,11,47,66,-19,35
18,Burnley,38,8,24,6,42,82,-40,30
19,Hull,38,6,20,12,34,75,-41,30
20,Portsmouth,38,7,24,7,34,66,-32,28
